類別,問題（Q）,回答（A）,關鍵詞,注意事項 / 補充說明
生活照護與復健,為什麼慢性阻塞性肺病（COPD）患者要運動？,適度運動能提升COPD患者的心肺功能、肌力、氧氣利用效率，並改善情緒與睡眠品質，進而提升生活品質。,"COPD運動, 生活品質, 氧氣效率",運動前請諮詢醫師或呼吸治療師，根據個人狀況調整強度。
生活照護與復健,COPD患者適合什麼樣的運動？,包括有氧運動（步行、游泳、騎車）、阻力訓練（彈力帶、輕量訓練）與伸展運動（瑜珈、太極），都能改善心肺功能與肌肉力量。,"COPD運動種類, 有氧, 阻力訓練, 伸展",選擇低強度、可呼吸順暢進行的運動，避免過度用力或呼吸急促。
生活照護與復健,什麼是縮唇呼吸與腹式呼吸？,縮唇呼吸是吸氣後以縮緊嘴唇緩慢吐氣；腹式呼吸是透過橫膈膜進行深呼吸，有助減少胸部負擔與呼吸急促。,"縮唇呼吸, 腹式呼吸, 呼吸練習",可每日練習，有助提升氧氣交換效率與穩定呼吸。
生活照護與復健,運動時COPD患者要注意什麼？,應避免極端氣候或空氣品質差的環境，選擇室內活動，並注意是否出現胸痛、頭暈等症狀，一旦發生應立即停止運動。,"運動注意事項, 室內運動, COPD安全",有共病如心律不整者，需特別監測心率與呼吸狀況。
疾病認識與病因,什麼是肺氣腫？,肺氣腫是肺泡因長期暴露於有害氣體（如香菸、空污）而逐漸破壞，導致肺泡壁消失，氣體交換效率下降，是慢性阻塞性肺病（COPD）的一種表現。,"肺氣腫, 肺泡破壞, COPD成因",患者常無聲無息地惡化，應早期發現與介入。
疾病認識與病因,COPD 和氣喘有什麼不同？,氣喘通常在年輕時發病，有變異性且可逆；COPD 為漸進式且不可逆的肺功能退化，且好發於有抽菸史的中老年人。,"氣喘, COPD差異, 可逆與不可逆",兩者有不同治療策略，需經醫師明確診斷。
疾病認識與病因,COPD 有哪些分期？,依據 GOLD 分級，COPD 分為第1至第4期，主要依據 FEV1 肺功能指數與臨床症狀來判斷嚴重程度。,"GOLD分期, FEV1, COPD分級",越早期介入控制，越能延緩病程惡化。
疾病認識與病因,為什麼 COPD 病人需要使用氧氣？,COPD 會導致長期慢性缺氧，若血氧飽和度過低，會影響心臟功能與腦部健康，因此需以低流量氧氣補充。,"氧氣治療, 缺氧, COPD輔助",需經醫師評估適當流量與使用時間，避免過度吸氧。
疾病認識與病因,為什麼 COPD 症狀在冬天會惡化？,冬天氣溫低、空氣乾燥、病毒流行，容易誘發氣管收縮與感染，導致呼吸困難加劇。,"冬季惡化, 氣道刺激, COPD感染",建議病患冬季出門戴口罩、保暖，並接種流感疫苗。
疾病認識與病因,COPD 一定會走到插管嗎？,不一定。若能早期診斷並積極控制，包括戒菸、規律服藥與運動訓練，可避免病程惡化至需插管地步。,"插管風險, COPD控制, 預後",衛教病人定期追蹤與居家管理非常關鍵。
安寧療護,什麼是安寧緩和照顧？,安寧緩和照顧是一種針對面對威脅生命之疾病的病人與家屬的照顧方式，透過早期偵測、症狀緩解及身心靈照顧，提升病人生活品質。,"安寧定義, 緩和照顧, 症狀控制",團隊照顧與家屬支持為安寧照護的核心精神。
安寧療護,何謂不予心肺復甦術（DNR）？,指對臨終、瀕死或無生命徵象病人，不施予插管、心臟按壓、急救藥物、電擊、人工調頻與人工呼吸等急救措施。,"DNR, 不施行心肺復甦, 安寧條例",即使簽署 DNR，醫療團隊仍會提供基本舒適照護直到生命結束。
安寧療護,COPD 末期的預後與癌末有什麼不同？,COPD 病程較難預測，常見反覆急性惡化與加護病房住院，死亡過程可能更漫長與孤單。,"COPD預後, 癌末差異, 重症預測",應及早規劃照顧計畫，避免過度醫療與孤獨死亡。
安寧療護,何時是 COPD 緩和照護的開始時機？,依賴氧氣、過去一年內住院、體重減輕、共病多、年齡 >70 歲、生活依賴度增加，皆為介入的時機。,"緩和起始時機, COPD介入, 輕重評估",愈早介入，愈能幫助病人與家屬面對哀傷與意義轉化。
安寧療護,為什麼強調生活品質而非僅延長生命？,若生活品質低落，即使生命延長，QALY（品質調整生命年）仍為負值，因此延長生命應兼顧尊嚴與品質。,"QALY, 生活品質, 延長生命意義",生命價值不在於長短，而在於質地。
安寧療護,COPD 病患什麼時候需要考慮安寧療護？,當病情惡化、FEV1 < 30%、長期需氧氣、頻繁住院、活動力下降、體重驟減或出現惡病體質時，應開始討論安寧選項與預立醫療指示。,"COPD末期, 安寧療護, FEV1, 癌症以外安寧",建議醫病共享決策，及早啟動預立醫療照護計畫。
安寧療護,COPD 病患接受安寧療護有什麼好處？,可減少無效治療與侵入性處置、改善症狀控制與生活品質，讓病人有尊嚴地面對生命末期。,"安寧好處, COPD緩和醫療, 呼吸困難",與家屬溝通充分有助於減少衝突與遺憾。
安寧療護,COPD 末期有哪些身體與心理需求？,常見身體需求包含呼吸困難、疲憊、失眠；心理方面則可能有焦慮、憂鬱與對死亡的恐懼，需整合心理師與社工團隊照護。,"末期症狀, COPD心理, 安寧支持",鼓勵家屬與病人共同參與照顧討論。
安寧療護,COPD 病患一定要氣切或插管嗎？,不一定。是否使用氣管插管、呼吸器等侵入性處置，應根據病情及病人意願來決定，並可考慮預立醫療指示與緩和治療方案。,"COPD氣切, 插管, 預立醫療指示, 尊嚴死",醫療團隊應及早引導病人理解各種選項。
安寧療護,安寧療護只適用癌症嗎？,不是。COPD 已被納入健保的八大非癌安寧療護適應症之一，病人可接受症狀緩解、心理社會與靈性照護。,"非癌安寧, COPD安寧, 健保適應症",應提升醫療端對非癌安寧的認識與轉介率。
安寧療護,COPD 病人對疾病末期了解夠嗎？,文獻指出約三至四成 COPD 病患未能了解自己已進入疾病末期，常錯過預立醫療決定與準備心理階段的機會。,"末期知情, COPD教育, 預後溝通",應主動提供病人與家屬末期病情進展與選項資訊。
疾病認識與病因,什麼是慢性阻塞性肺病？,慢性阻塞性肺病（COPD）是一種因為呼吸道長期發炎造成的慢性肺部疾病，常由吸菸或空氣污染引起。患者會因氣管及肺泡發炎而導致呼吸道阻塞，出現咳嗽、咳痰、呼吸困難等症狀。,"COPD, 肺阻塞, 呼吸困難, 慢性咳嗽",用語要通俗易懂，避免過多醫學術語。可補充『多為中老年人發病』的說明。
藥物與吸入治療,COPD病人為什麼要使用吸入型藥物？,吸入型支氣管擴張劑可直接作用在肺部，快速舒張氣道，減少症狀發作。規律使用長效型吸入藥物可穩定控制病情，減少急性惡化的發生。,"吸入器, 支氣管擴張劑, 規律用藥",強調『規律使用』與『醫師指示』，避免病人自行停藥。
生活照護與復健,有 COPD 還能運動嗎？,可以的。規律運動可以改善心肺功能與生活品質。建議從低強度運動開始，搭配復健醫療團隊建議循序漸進進行。,"COPD 運動, 心肺復健, 有氧運動",運動時若出現嚴重喘或胸悶，應立即休息並視情況就醫。
急性惡化與就醫,怎麼知道是不是 COPD 的急性發作？,當呼吸急促明顯加劇、咳嗽變嚴重或痰液改變顏色與量，可能是急性惡化的徵兆。請立即使用醫師開立的急救藥物，並盡快就醫。,"COPD急性惡化, 呼吸急促, 痰液變化",建議病人事先備妥急救藥物。可提醒避免感冒、空污。
疾病認識與病因,COPD 包含哪些疾病？,COPD（慢性阻塞性肺病）包含慢性支氣管炎與肺氣腫兩種疾病，主要因長期接觸有害物質（如香菸、空污、職業粉塵等）導致呼吸道狹窄或鬆弛，使氣流受阻。,"COPD, 慢性支氣管炎, 肺氣腫, 有害物質",可補充說明氣流受阻是不可逆的特性。
症狀與評估,COPD 有哪些症狀？,常見症狀包括咳嗽、咳痰、喘、活動或休息時呼吸困難、疲倦、意識混亂等；若缺氧，可能會有頭痛、發紺、睡不著或昏睡等情況。,"COPD症狀, 咳嗽, 缺氧, 呼吸困難",區分一般症狀與缺氧表現，強調需早期注意變化。
併發症說明,COPD 可能引發哪些併發症？,常見併發症有肺炎、氣胸、呼吸衰竭、睡眠呼吸中止症、慢性肺心症及營養不良等，需定期追蹤並及早處理。,"COPD併發症, 氣胸, 肺心症, 呼吸衰竭",回答時語氣中性，避免引起病人恐慌。
生活照護與復健,COPD 患者要怎麼照顧自己？,包含戒菸、少量多餐、高熱量高蛋白飲食、避免產氣食物與脫水、練習呼吸運動與肺部復健，搭配規律運動與正確用藥。,"COPD自我照護, 飲食, 戒菸, 運動, 呼吸訓練",建議將照護方式分段逐步說明，避免過度堆疊。
藥物與吸入治療,COPD 常見藥物有哪些？有什麼副作用？,常見藥物有支氣管擴張劑（減少呼吸困難）、袪痰劑（幫助痰液排出）、類固醇（抗發炎）、抗生素（控制感染）。部分藥物可能會有心悸、口乾、失眠、喉嚨痛或腸胃不適等副作用。,"COPD用藥, 支氣管擴張劑, 副作用, 類固醇",需強調『遵醫囑服藥』並主動回報不適，避免自行停藥。
疾病認識與病因,什麼是慢性阻塞性肺病（COPD）？,COPD 是一種因呼吸道長期發炎導致呼吸道狹窄或鬆弛，使氣體無法順利進出肺部的疾病，主要包含慢性支氣管炎與肺氣腫兩類型態。,"COPD, 呼吸道狹窄, 慢性支氣管炎, 肺氣腫",避免與氣喘混淆，可補充為不可逆性氣流受限。
疾病認識與病因,COPD 是怎麼引起的？,主要原因包括抽菸（約九成患者有抽菸史）、長期暴露粉塵或油煙、空氣汙染、反覆呼吸道感染、過敏、遺傳因素及老化引起的肺功能退化。,"COPD危險因子, 抽菸, 空污, 粉塵, 遺傳",抽菸要特別標註是主要危險因子，並提醒二手菸也有風險。
症狀與評估,COPD 的典型症狀有哪些？,典型症狀為『咳、痰、喘』，早期常見晨間或冬天咳嗽痰多，隨著病情惡化，會出現喘、活動耐受力下降，生活品質逐漸降低。,"COPD症狀, 咳嗽, 痰多, 呼吸困難, 活動耐力",補充活動受限與生活品質惡化的關聯，有助病人理解日常影響。
